"Statistic Label","Year","Employment Size","Activity","UNIT","VALUE"
"Active Enterprises","2019","Under 10","Real Estate Activities on a Fee or Contract Basis (L683)","Number","4667"
"Active Enterprises","2019","Under 10","Legal Activities (M691)","Number","4594"
"Active Enterprises","2019","Under 10","Accounting, Bookkeeping and Auditing Activities; Tax Consultancy (M692)","Number","6565"
"Active Enterprises","2019","Under 10","Activities of Head Offices (M701)","Number","434"
"Active Enterprises","2019","Under 10","Management Consultancy Activities (M702)","Number","10681"
"Active Enterprises","2019","Under 10","Architectural and Engineering Activities and Related Technical Consultancy (M711)","Number","8332"
"Active Enterprises","2019","Under 10","Technical Testing and Analysis (M712)","Number","340"
"Active Enterprises","2019","Under 10","Research and Experimental Development on Natural Sciences and Engineering (M721)","Number","562"
"Active Enterprises","2019","Under 10","Research and Experimental Development on Social Sciences and Humanities (722)","Number","172"
"Active Enterprises","2019","Under 10","Advertising (M731)","Number","1477"
"Active Enterprises","2019","Under 10","Market Research and Public Opinion Polling (M732)","Number","210"
"Active Enterprises","2019","Under 10","Specialised Design Activities (M741)","Number","2904"
"Active Enterprises","2019","Under 10","Photographic Activities (M742)","Number","1818"
"Active Enterprises","2019","Under 10","Translation and Interpretation Activities (M743)","Number","593"
"Active Enterprises","2019","Under 10","Other Professional, Scientific and Technical Activities n.e.c. (M749)","Number","3069"
"Active Enterprises","2019","Under 10","Veterinary Activities (M750)","Number","1082"
"Active Enterprises","2019","Under 10","Renting and Leasing of Motor Vehicles (N771)","Number","168"
"Active Enterprises","2019","Under 10","Renting and Leasing of Personal and Household Goods (N772)","Number","334"
"Active Enterprises","2019","Under 10","Renting and Leasing of Other Machinery, Equipment and Tangible goods (N773)","Number","4522"
"Active Enterprises","2019","Under 10","Leasing of Intellectual Property and Similar Products, except Copyrighted Works (N774)","Number","181"
"Active Enterprises","2019","Under 10","Activities of Employment Placement Agencies (N781)","Number","1032"
"Active Enterprises","2019","Under 10","Temporary Employment Agency Activities (N782)","Number","93"
"Active Enterprises","2019","Under 10","Other Human Resources Provision (N783)","Number","199"
"Active Enterprises","2019","Under 10","Travel Agency and Tour Operator Activities (N791)","Number","651"
"Active Enterprises","2019","Under 10","Other Reservation Service and Related Activities (N799)","Number","475"
"Active Enterprises","2019","Under 10","Private Security Activities (N801)","Number","216"
"Active Enterprises","2019","Under 10","Security Systems Service Activities (N802)","Number","507"
"Active Enterprises","2019","Under 10","Investigation Activities (N803)","Number","106"
"Active Enterprises","2019","Under 10","Combined Facilities support Activities (N811)","Number","267"
"Active Enterprises","2019","Under 10","Cleaning Activities (N812)","Number","2141"
"Active Enterprises","2019","Under 10","Landscape Service Activities (N813)","Number","3415"
"Active Enterprises","2019","Under 10","Office Administrative and Support Activities (N821)","Number","659"
"Active Enterprises","2019","Under 10","Activities of Call Centres (N822)","Number","46"
"Active Enterprises","2019","Under 10","Organisation of Conventions and Trade Shows (N823)","Number","584"
"Active Enterprises","2019","Under 10","Business Support Service Activities n.e.c. (N829)","Number","1042"
"Active Enterprises","2019","Under 10","ICT Manufacturing (C261 TO C264,C268)","Number","204"
"Active Enterprises","2019","Under 10","Computer Programming Activities (J6201)","Number","2968"
"Active Enterprises","2019","Under 10","Computer Consultancy Activities (J6202)","Number","4631"
"Active Enterprises","2019","Under 10","Computer Facilities Management Activities (J6203)","Number","49"
"Active Enterprises","2019","Under 10","Other Information Technology and Computer Service Activities (J6209)","Number","2051"
"Active Enterprises","2019","Under 10","Food Products, Beverages and Tobacco (C10 to C12)","Number","1467"
"Active Enterprises","2019","Under 10","Textiles and Wearing Apparel (C13,C14)","Number","728"
"Active Enterprises","2019","Under 10","Paper and Paper Products; Printing and Reproduction of Recorded Media (C17,C18)","Number","1314"
"Active Enterprises","2019","Under 10","Basic Metals and Fabricated Metal Products (C24,C25)","Number","3105"
"Active Enterprises","2019","Under 10","Transport Equipment (C29,C30)","Number","196"
"Active Enterprises","2019","Under 10","Furniture and Other Manufacturing (C31,C32)","Number","2016"
"Active Enterprises","2019","Under 10","ICT Services (G465,J582,J61,J62,J631,S951)","Number","12196"
"Active Enterprises","2019","Under 10","Business Economy excluding Sector O and Activities of Membership Organisations (B to S-O-S94)","Number","313239"
"Active Enterprises","2019","Under 10","Service Economy excluding Sector O and Activities of Membership Organisations (G to S-O-S94)","Number","240328"
"Active Enterprises","2019","10 - 19","Mining and Quarrying (B)","Number","29"
"Active Enterprises","2019","10 - 19","Manufacturing (C)","Number","882"
"Active Enterprises","2019","10 - 19","Electricity, Gas, Steam and Air Conditioning Supply (D)","Number","11"
"Active Enterprises","2019","10 - 19","Water Supply; Sewerage, Waste Management and Remediation Activities (E)","Number","73"
"Active Enterprises","2019","10 - 19","Construction (F)","Number","1341"
"Active Enterprises","2019","10 - 19","WholeSale and Retail Trade; Repair of Motor Vehicles and Motorcycles (G)","Number","3538"
"Active Enterprises","2019","10 - 19","Transportation and Storage (H)","Number","622"
"Active Enterprises","2019","10 - 19","Accommodation and Food Service Activities (I)","Number","2340"
"Active Enterprises","2019","10 - 19","Information and Communication (J)","Number","478"
"Active Enterprises","2019","10 - 19","Financial and Insurance Activities (K)","Number","387"
"Active Enterprises","2019","10 - 19","Real Estate Activities (L)","Number","177"
"Active Enterprises","2019","10 - 19","Professional, Scientific and Technical Activities (M)","Number","1308"
"Active Enterprises","2019","10 - 19","Administrative and Support Service Activities (N)","Number","573"
"Active Enterprises","2019","10 - 19","Education (P)","Number","670"
"Active Enterprises","2019","10 - 19","Human Health and Social Work Activities (Q)","Number","1319"
"Active Enterprises","2019","10 - 19","Arts, Entertainment and Recreation (R)","Number","441"
"Active Enterprises","2019","10 - 19","Leather and Related Products (C15)","Number",""
"Active Enterprises","2019","10 - 19","Wood and Wood Products, except Furniture (C16)","Number","56"
"Active Enterprises","2019","10 - 19","Coke and Refined Petroleum Products (C19)","Number",""
"Active Enterprises","2019","10 - 19","Manufacture of Chemicals and Chemical Products (C20)","Number","16"
"Active Enterprises","2019","10 - 19","Manufacture of Basic Pharmaceutical Products and Pharmaceutical Preparations (C21)","Number","10"
"Active Enterprises","2019","10 - 19","Manufacture of Rubber and Plastic Products (C22)","Number","49"
"Active Enterprises","2019","10 - 19","Manufacture of Other Non-Metallic Mineral Products (C23)","Number","62"
"Active Enterprises","2019","10 - 19","Manufacture of Computer, Electronic and Optical Products (C26)","Number","29"
"Active Enterprises","2019","10 - 19","Manufacture of Electrical Equipment (C27)","Number","26"
"Active Enterprises","2019","10 - 19","Manufacture of Machinery and Equipment n.e.c. (C28)","Number","56"
"Active Enterprises","2019","10 - 19","Repair and Installation of Machinery and Equipment (C33)","Number","54"
"Active Enterprises","2019","10 - 19","WholeSale and Retail Trade and Repair of Motor Vehicles and Motorcycles (G45)","Number","405"
"Active Enterprises","2019","10 - 19","WholeSale Trade, except of Motor Vehicles and Motorcycles (G46)","Number","977"
"Active Enterprises","2019","10 - 19","Retail Trade, except of Motor Vehicles and Motorcycles (G47)","Number","2156"
"Active Enterprises","2019","10 - 19","Land Transport and Transport Via Pipelines (H49)","Number","454"
"Active Enterprises","2019","10 - 19","Water Transport (H50)","Number",""
"Active Enterprises","2019","10 - 19","Air Transport (H51)","Number",""
"Active Enterprises","2019","10 - 19","Warehousing and Support Activities for Transportation (H52)","Number","93"
