active_enterprises,enterprise_births,persons_engaged_in_active_enterprises,employees_in_active_enterprises,persons_engaged_in_birthed_enterprises,employees_in_birthed_enterprises
,0.0,10279.0,10279.0,0.0,0.0
10.0,0.0,4108.0,4108.0,0.0,0.0
14.0,0.0,5822.0,5822.0,0.0,0.0
9.0,0.0,7431.0,7431.0,0.0,0.0
5.0,0.0,1977.0,1977.0,0.0,0.0
913.0,6.0,834540.0,833802.0,2562.0,0.0
,0.0,2436.0,2436.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,21257.0,21257.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
,0.0,,,0.0,0.0
13.0,0.0,10356.0,10356.0,0.0,0.0
,0.0,,,0.0,0.0
16.0,0.0,10829.0,10829.0,0.0,0.0
36.0,0.0,25862.0,25862.0,0.0,0.0
36.0,0.0,25862.0,25862.0,0.0,0.0
25.0,0.0,12414.0,12414.0,0.0,0.0
,0.0,,,0.0,0.0
46.0,0.0,132492.0,132492.0,0.0,0.0
46.0,0.0,132492.0,132492.0,0.0,0.0
,0.0,8666.0,8666.0,0.0,0.0
57.0,0.0,44436.0,44434.0,0.0,0.0
21.0,0.0,36341.0,36341.0,0.0,0.0
70.0,0.0,72128.0,72128.0,0.0,0.0
52.0,0.0,29760.0,29543.0,0.0,0.0
38.0,,24000.0,24000.0,,0.0
32.0,0.0,28383.0,28383.0,0.0,0.0
,0.0,,,0.0,0.0
41.0,,54765.0,54765.0,,0.0
117.0,,103184.0,103184.0,,0.0
8.0,0.0,14359.0,14359.0,0.0,0.0
62.0,0.0,51118.0,51118.0,0.0,0.0
70.0,0.0,65477.0,65477.0,0.0,0.0
,0.0,7179.0,7179.0,0.0,0.0
63.0,,50632.0,50632.0,,0.0
18.0,0.0,14031.0,14031.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,10891.0,10891.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
9.0,,4485.0,4161.0,,0.0
17.0,,14593.0,14078.0,,0.0
0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,10981.0,10981.0,0.0,0.0
26.0,0.0,17633.0,17633.0,0.0,0.0
13.0,0.0,6793.0,6793.0,0.0,0.0
13.0,0.0,16874.0,16874.0,0.0,0.0
5.0,0.0,2313.0,2313.0,0.0,0.0
11.0,0.0,4951.0,4951.0,0.0,0.0
3.0,0.0,1296.0,1296.0,0.0,0.0
3.0,0.0,2028.0,2028.0,0.0,0.0
172.0,0.0,116625.0,116408.0,0.0,0.0
,0.0,,,0.0,0.0
,0.0,2244.0,2244.0,0.0,0.0
4.0,0.0,,,0.0,0.0
18.0,0.0,10925.0,10925.0,0.0,0.0
,0.0,,,0.0,0.0
,0.0,,,0.0,0.0
,0.0,,,0.0,0.0
5.0,0.0,4401.0,4401.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
,0.0,,,0.0,0.0
3.0,0.0,1545.0,1545.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
5.0,,,,,0.0
,0.0,,,0.0,0.0
8.0,0.0,4245.0,4245.0,0.0,0.0
56.0,,38661.0,38146.0,,0.0
,0.0,,,0.0,0.0
7.0,0.0,4277.0,4277.0,0.0,0.0
8.0,0.0,5615.0,5613.0,0.0,0.0
8.0,0.0,5615.0,5613.0,0.0,0.0
,0.0,,,0.0,0.0
5.0,0.0,1587.0,1587.0,0.0,0.0
,0.0,,,0.0,0.0
,0.0,,,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
,0.0,,,0.0,0.0
3.0,0.0,1109.0,1109.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,2229.0,2229.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
30.0,,16888.0,16888.0,,0.0
24.0,0.0,47639.0,47639.0,0.0,0.0
5.0,0.0,6757.0,6757.0,0.0,0.0
3.0,0.0,1768.0,1768.0,0.0,0.0
,0.0,,,0.0,0.0
,0.0,,,0.0,0.0
25.0,0.0,22488.0,22488.0,0.0,0.0
12.0,0.0,6875.0,6875.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
73.0,0.0,87117.0,87117.0,0.0,0.0
4.0,0.0,2229.0,2229.0,0.0,0.0
6.0,0.0,3736.0,3736.0,0.0,0.0
14.0,0.0,7981.0,7981.0,0.0,0.0
702.0,6.0,691410.0,690889.0,2562.0,0.0
,0.0,,,0.0,0.0
46.0,0.0,31531.0,31531.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,1783.0,1783.0,0.0,0.0
4.0,0.0,1714.0,1714.0,0.0,0.0
7.0,0.0,9474.0,9474.0,0.0,0.0
,0.0,,,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,1963.0,1963.0,0.0,0.0
28.0,0.0,40076.0,40076.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
,0.0,,,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,,,0.0,0.0
