active_enterprise,persons_engaged,employees
6.0,8.0,5.0
40.0,,
10.0,20.0,13.0
30.0,393.0,
22.0,32.0,23.0
49.0,354.0,330.0
,16.0,
8.0,8.0,4.0
6.0,15.0,
11.0,16.0,10.0
33.0,,
11.0,10.0,5.0
10.0,23.0,18.0
25.0,,
27.0,65.0,46.0
1124.0,7405.0,6882.0
,,
,0.0,0.0
,0.0,0.0
7.0,6.0,4.0
26.0,27.0,21.0
9.0,,
178.0,308.0,286.0
21.0,19.0,13.0
8.0,11.0,
19.0,7.0,
3.0,0.0,0.0
4.0,,
,,
12.0,3.0,
,,
,0.0,0.0
4.0,4.0,
11.0,10.0,9.0
,,0.0
3.0,,
,,0.0
3.0,,0.0
3.0,,
,,
5.0,,0.0
9.0,21.0,19.0
4.0,6.0,5.0
416.0,505.0,438.0
,,
26.0,290.0,275.0
,106.0,86.0
52.0,223.0,180.0
244.0,1327.0,1129.0
75.0,204.0,
600.0,23874.0,23467.0
131.0,1189.0,1085.0
72.0,311.0,249.0
91.0,818.0,753.0
32.0,284.0,
23.0,88.0,70.0
,19.0,
98.0,420.0,346.0
,53.0,31.0
60.0,147.0,96.0
49.0,130.0,89.0
85.0,333.0,276.0
28.0,166.0,143.0
,,76.0
32.0,242.0,219.0
31.0,150.0,124.0
83.0,349.0,278.0
47.0,277.0,236.0
30.0,167.0,142.0
58.0,249.0,208.0
61.0,,99.0
2357.0,32114.0,30269.0
,,
,,
0.0,0.0,0.0
,,
,0.0,0.0
,0.0,0.0
3.0,,
4.0,4.0,
0.0,0.0,0.0
,,
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
,0.0,0.0
0.0,0.0,0.0
,0.0,0.0
0.0,0.0,0.0
,,0.0
0.0,0.0,0.0
,,
0.0,0.0,0.0
,,
0.0,0.0,0.0
,,
22.0,347.0,343.0
,,
0.0,0.0,0.0
,,
3.0,3.0,
23.0,75.0,70.0
10.0,5.0,
109.0,1770.0,1747.0
10.0,16.0,
12.0,16.0,9.0
13.0,,
4.0,,0.0
0.0,0.0,0.0
,,0.0
